題號|題目|選項1|選項2|選項3|選項4|正確答案
159|「永續發展基礎能力測驗」是為了因應哪種人才需求?|ESG 與永續金融專業人才|程式開發人才|法律訴訟人才|醫護人才|1
160|下列哪一項是「社會責任債券」的潛在社會目標?|減輕失業問題|開發昂貴的化妝品|資助職棒球團|建設私人高爾夫球場|1
161|企業設定「內部碳定價」的 shadow price(影子價格)主要目的為何?|測試專案在未來碳成本下的獲利能力|向員工收取碳費|作為逃漏稅的工具|應付政府的行政檢查|1
162|關於「盡職治理守則」的「議合」方式,不包含下列哪一項?|威脅公司如果不改就進行駭客攻擊|與公司高層會面|發出正式信函表達意見|在股東會提出議案|1
163|何謂「綠色溢價」(Green Premium)?|選用低碳技術比選用傳統高碳技術多出的成本|綠色產品的促銷折扣|政府給予的綠色補助|買綠色股票賺到的錢|1
164|SDGs 目標 14「保育海洋生態」主要針對?|保護及永續利用海洋資源|保護陸地上的河川|減少工廠的用水量|推廣水產養殖業|1
165|關於 113 年第 4 次測驗(11304)的題數,正確為?|80 題|100 題|50 題|40 題|1
166|TCFD 建議揭露「指標與目標」中,應包含哪一項?|溫室氣體排放量(範疇一、二及相關三)|員工的平均年資|董事長的個人碳足跡|辦公大樓的建築成本|1
167|什麼是「碳匯」(Carbon Sink)?|能儲存二氧化碳的天然或人工倉庫(如森林、海洋)|排碳量很高的工廠|交易碳權的場所|記錄碳排放的帳本|1
168|下列哪種組織負責推動台灣的「綠色金融行動方案」?|金融監督管理委員會|內政部警政署|農業部|交通部|1
169|「責任投資原則」(PRI)是由誰發起的?|聯合國|世界銀行|歐洲聯盟|美國聯準會|1
170|關於 ESG,下列哪一項敘述是正確的?|ESG 數據有助於投資人評估公司的長期風險|ESG 只是公關活動,與獲利無關|只有環境(E)才是重要的|ESG 評級越高,股價就一定會漲|1
171|下列何者屬於「永續經濟活動」中的「轉型活動」?|目前尚無低碳替代技術,但碳排已屬同業最低者|太陽能發電|完全停止排碳的工廠|植樹造林|1
172|「雙重重大性」(Double Materiality)是指要同時考慮?|對組織財務的影響與對環境社會的影響|環境與社會|財務與法律|公司治理與員工關係|1
173|關於「赤道原則」中的第 7 原則「獨立審查」,是指?|由外部獨立顧問審查專案的環境社會文件|由公司老闆自己審查|由政府官員審查|由銀行櫃檯人員審查|1
174|什麼是「範圍三」排放中最常見的項目?|委外運輸與物流及供應鏈排放|公司車輛排煙|購買電力產生的排放|辦公室燈泡耗電|1
175|TCFD 架構中,哪一個要素是整個架構的核心?|治理|策略|風險管理|指標與目標|1
176|下列何者是 SASB 準則的特點?|針對 77 個行業別訂定不同的揭露指標|適用於全球所有政府機構|只關注社會議題|由歐盟制定並推廣|1
177|「內部碳定價」中的「內部碳費」通常如何運作?|對公司內部各部門排碳收取費用並專款用於減碳計畫|向客戶額外收取的稅金|發給員工的獎金|繳交給環保署的罰款|1
178|關於「自然相關財務揭露」(TNFD)的 LEAP 評估流程,L 是指?|定位(Locate)與自然的互動|學習(Learn)生態知識|法律(Legal)合規|績效(Leverage)提升|1
179|我國上市上櫃公司編製之永續報告書,必須經過何種程序方可上傳至公開資訊觀測站?|董事會通過|經全體股東簽名|經市長核准|不需任何程序直接上傳|1
180|下列何者不是 TCFD 建議揭露的氣候相關「機會」?|資產因淹水毀損|資源效率提升|能源來源轉型|新產品與服務開發|1
181|關於「永續連結貸款」(SLL),若借款人未達成預設的 ESG KPI,通常會?|利率調升|直接被宣告違約|必須立刻還清餘額|銀行沒收擔保品|1
182|ESG 中的「S」(社會)面向,對於供應鏈管理的要求通常包含?|禁止強迫勞動與童工|要求供應商降低售價|要求供應商增加加班時間|要求供應商只使用紙本報價|1
183|「碳邊境調整機制」(CBAM)主要是在防止什麼問題?|碳洩漏(Carbon Leakage)|空氣污染|全球暖化|資源浪費|1
184|下列哪一項屬於「綠色債券」的透明度要求?|定期發布資金用途與環境效益報告|不需向投資人說明資金去向|只要在發行時說明白即可|僅向政府機關報告|1
185|什麼是「藍色債券」(Blue Bonds)?|募集資金用於海洋保護與水資源永續專案的債券|只給海軍發行的債券|封裝藍領工人薪資的債券|印製在藍色紙張上的債券|1
186|關於「影響力投資」與「慈善捐贈」的差異,關鍵在於?|影響力投資追求回本並有財務收益|慈善捐贈會賺更多錢|影響力投資不需評估成效|兩者完全一樣|1
187|GRI 準則中的「重大議題準則」編號為?|GRI 200, 300, 400 系列|GRI 1 系列|GRI 11 系列|GRI 101 系列|1
188|下列哪種行為會增加企業的「漂綠」風險?|宣稱產品 100% 環保卻無佐證數據|詳細列出所有排碳數據|取得第三方確信|公開道歉並修正錯誤|1
189|「公正轉型」的概念最早是由哪個群體提出的?|工會與勞工運動組織|銀行業|科技業|地產開發商|1
190|關於 113 年第 4 次測驗,疑義申請的期限是?|113年10月21日至10月22日|考完當天一小時內|公佈成績後一個月|隨時皆可申請|1
191|什麼是「內部碳定價」的「隱含價格」(Implicit Price)?|基於減碳投資成本換算出的每噸碳成本|政府公告的碳費|碳交易市場的現價|員工猜測的價格|1
192|關於「盡職治理」,機構投資人應如何處理衝突利益?|建立處理利益衝突之政策|隱瞞利益衝突|利益衝突時以投資人利益為優先但不必揭露|完全避開所有有利益衝突的投資|1
193|「科學基礎減碳目標」(SBTi)對企業的要求,包含達成什麼時間點的淨零?|2050 年或更早|2060 年|2100 年|2030 年以前必須完成|1
194|下列何者是「生物多樣性」議題在金融業受重視的原因?|生態系統崩潰會引發系統性金融風險|銀行想在森林裡蓋分行|為了增加動物貸款業務|保護稀有物種可以換取現金|1
195|關於 11304 測驗,若答案更正為 4,則原答案(假設為 3)會如何處理?|以 4 為唯一正確答案|3 和 4 都算對|該題作廢|一律給分|1
196|TCFD 建議揭露「指標與目標」時,是否需要揭露歷史數據?|是,應提供歷史趨勢比較|否,只需揭露今年數據|否,只需揭露未來預測|看公司心情|1
197|什麼是「負碳技術」(Negative Emission Technologies)?|能從大氣中移除二氧化碳的技術(如 DAC)|讓排碳量變成負數的排煙管|讓電表倒著跑的技術|完全不排碳的技術|1
198|我國「永續發展行動方案」規定,資本額多少以上的公司應編製永續報告書?|全體上市上櫃公司將分階段適用|100 億以上|50 億以上|20 億以上|1
199|「責任銀行原則」(PRB)的三大核心不包含?|最大化短期股利發放|一致性(Alignment)|衝擊(Impact)|透明與責任(Transparency & Accountability)|1
200|關於 ESG 投資,下列哪種說法是正確的?|ESG 可以幫助投資人識別傳統財務報表看不見的風險|ESG 投資只適合年輕人|ESG 投資是不合法的|ESG 只是一場騙局|1
201|關於國際永續準則理事會(ISSB),其發布之 IFRS S1 核心內容為何?|要求企業揭露所有重大的永續相關風險與機會|僅限於氣候變遷揭露|規範會計師的查核費用|要求企業必須捐款給聯合國|1
202|IFRS S2 準則主要針對哪一個特定主題進行揭露?|氣候相關揭露|員工福利揭露|反貪腐揭露|水資源管理|1
203|下列何者屬於 ESG 中的「實體風險」(Physical Risk)?|極端氣候導致生產設備毀損|政府徵收高額碳費|消費者改買環保品牌產品|低碳技術成本過高|1
204|什麼是「情境分析」(Scenario Analysis)在氣候揭露中的作用?|評估公司在不同升溫情境(如1.5度或4度)下的韌性|預測明年的天氣預報|計算公司未來的股價|分析競爭對手的廣告策略|1
205|關於「淨零排放」(Net Zero),其與「碳中和」最主要的差異點在於?|淨零排放通常包含所有溫室氣體且減量路徑須符合1.5度目標|淨零排放不需要抵換|碳中和只能用在製造業|兩者完全相同|1
206|歐盟「永續金融揭露規範」(SFDR)中,標榜具備永續投資目標的產品稱為?|第九條產品(Article 9)|第六條產品(Article 6)|第八條產品(Article 8)|第十條產品|1
207|SFDR 中僅宣稱考慮 ESG 因素但未以此為核心目標的產品稱為?|第六條產品(Article 6)|第八條產品(Article 8)|第九條產品(Article 9)|以上皆非|1
208|下列何者是企業推動「內部碳定價」的主要原因?|引導資金投入低碳技術研發與投資決策|向政府報備減碳績效以換取現金|減少對員工的薪資支出|降低公司的保險費|1
209|關於「自然相關財務揭露」(TNFD),其核心架構參考了哪個組織?|TCFD|WHO|WTO|NATO|1
210|TNFD 的主要目的是衡量組織與什麼之間的相互依賴關係?|自然生態系統與生物多樣性|政府與非政府組織|供應商與客戶|管理層與員工|1
211|下列哪種行為會直接被視為「漂綠」(Greenwashing)?|宣稱產品環保卻隱瞞其生產過程造成的巨大污染|在工廠門口漆上綠色油漆|在公司網站分享環保小撇步|取得第三方公正單位的確信證明|1
212|我國「永續發展路徑圖」規定,2023 年應完成溫室氣體盤查揭露的公司為?|資本額 100 億元以上及鋼鐵、水泥業|全體上市公司|僅限於金融業|資本額 20 億元以上公司|1
213|「格拉斯哥淨零金融聯盟」(GFANZ)主要號召哪些機構參與?|銀行、保險、資產管理公司等金融機構|全球所有石化企業|各國環境保護局|大學及研究機構|1
214|下列何者屬於「轉型風險」中的市場風險?|消費者轉向支持低碳產品或服務|颱風頻率增加|政府調高勞工最低工資|公司治理出問題被罰款|1
215|關於「科學基礎減碳目標」(SBTi),企業設定的目標必須符合什麼目標?|巴黎協定將升溫限制在 1.5°C 之內|企業自身的年度業績成長率|前三年的平均排碳量|當地政府的稅收目標|1
216|在永續投資中,所謂的「議合」(Engagement)是指?|投資人與公司管理層溝通以促使其改善 ESG 表現|與公司簽訂採購合約|與競爭對手商討定價|在股東會上提出罷免董事長|1
217|「赤道原則」最新版本(EP4)中,對於原住民權利的要求主要參考?|自由、事先和知情同意(FPIC)|各國的勞動基準法|公司的內部管理手冊|聯合國糧農組織準則|1
218|下列何者屬於「責任投資原則」(PRI)的六大原則之一?|將 ESG 議題納入投資分析及決策過程|每年必須捐出 1% 獲利|不投資任何石化能源|必須僱用 ESG 專業人員|1
219|什麼是「範疇二」溫室氣體排放的典型例子?|外購電力產生的間接排放|公司貨車排放廢氣|工廠生產過程散逸氣體|員工出差搭火車|1
220|GRI 準則 2021 版中,強調企業應優先揭露具有什麼影響的議題?|重大性(Materiality)影響|對股價有幫助的影響|媒體關注度的影響|董事長關心的影響|1
221|SASB 準則的特點是將揭露指標區分為?|77 個產業別|5 個地理區域|10 個不同國家|3 個公司規模等級|1
222|下列何者非「永續連結貸款」(SLL)的關鍵要素?|資金必須僅限於購置太陽能板|設定永續績效目標(SPT)|績效與利率掛鉤|定期報告執行績效|1
223|我國「氣候變遷因應法」明定碳費徵收對象首波以誰為主?|碳排放量大的製造業與電力業|全體國民|全體中小企業|所有進口貿易商|1
224|「碳會計金融夥伴關係」(PCAF)的主要功能是提供什麼?|計算投融資組合中溫室氣體排放的統一標準|買賣碳權的交易平台|評估員工滿意度的工具|編寫永續報告書的範本|1
225|所謂「公正轉型」(Just Transition)的核心精神是?|在轉型過程中不遺留任何人,並保障受影響勞工權益|轉型速度必須達到全球最快|由政府承擔所有轉型成本|轉型只適用於大企業|1
226|下列哪一項是「社會責任債券」(Social Bond)的常見用途?|資助基礎設施建置以增加偏鄉就業|支付高階主管的績效獎金|研發更高效率的內燃機|贊助國際體育賽事|1
227|ESG 中的「G」(Governance)維度通常不包含下列哪一項?|生物多樣性保護|董事會獨立性|反貪腐與賄賂|商業倫理|1
228|關於「重大性分析」,企業通常透過什麼方式識別關鍵議題?|與利害關係人進行溝通與意見收集|由董事長個人決定|參考競爭對手的官網圖片|隨機抽選 ESG 議題|1
229|下列何者屬於「物理風險」中的慢性風險?|長期氣溫上升導致農作物減產|森林火災毀損設備|強烈颱風導致淹水|龍捲風襲擊倉庫|1
230|「碳中和」與「淨零排放」在抵換機制上的差異是?|淨零排放僅容許對難以減量之殘餘排放進行抵換|碳中和禁止使用任何碳權|淨零排放不接受森林碳匯|兩者要求完全一致|1
231|我國金管會推動的「永續發展行動方案」,其重點不包括下列哪項?|由政府保證所有 ESG 基金的獲利|深化企業永續發展基本功|強化利害關係人溝通|推動永續金融價值鏈|1
232|TCFD 指引中,建議將氣候相關風險分為哪兩大類?|實體風險與轉型風險|環境風險與財務風險|內部風險與外部風險|長期風險與短期風險|1
233|什麼是「擱淺資產」(Stranded Assets)?|因過渡到低碳經濟而提早失去價值的資產(如煤礦)|遺留在港口的貨物|被法院凍結的資產|員工忘記帶走的物品|1
234|下列何者屬於「轉型風險」中的技術風險?|低碳排放技術取代現有高碳排放技術|極端天氣導致斷電|政府調高碳費價格|勞工流動率過高|1
235|關於「影響力投資」(Impact Investing),下列敘述何者正確?|旨在產生可衡量的社會/環境影響,並同時具備財務回報|純粹為了慈善捐贈,不求回報|僅投資於非營利組織|只關注環境指標,不看社會指標|1
236|下列哪一項是 TCFD 核心要素中的「指標與目標」之目的?|衡量與管理重大氣候相關風險及機會的進度|預測各國政府的選舉結果|決定員工的年度分紅|計算公司購買的廣告流量|1
237|歐盟「碳邊境調整機制」(CBAM)主要是在處理什麼現象?|碳洩漏(Carbon Leakage)|空氣污染|塑膠垃圾|非法移民|1
238|我國「永續經濟活動認定指引」之目的為何?|提供判斷經濟活動是否對環境有貢獻的標準|限制企業的獲利金額|強迫所有企業改名為綠能公司|發放綠色補助金給所有家庭|1
239|下列何者屬於「綠色溢價」(Green Premium)?|採用低碳技術比採用傳統技術所多出的成本|買綠色產品贈送的點數|政府給予的綠電補助|買 ESG 股票賺到的超額報酬|1
240|關於「負碳技術」(Negative Emission Technologies),下列何者為代表?|碳捕捉與封存(CCS)|太陽能發電|電動車|LED 燈具|1
241|「責任投資原則」(PRI)的主要簽署對象為?|資產所有者、資產管理公司與服務提供者|全體國民|大學教授|所有零售店面|1
242|ESG 因素如何影響金融機構的信用風險評估?|ESG 表現差的公司未來面臨罰款或營運中斷風險較高|ESG 跟信用風險完全無關|只有環境(E)才跟信用有關|只要公司會賺錢,ESG 就不會影響信用|1
243|下列何者是「內部碳定價」中的「內部碳費」運作方式?|對公司內部各部門排碳收費,並專款用於減碳計畫|向客戶收取的環境附加費|向政府申請的減碳補助|員工購買環保餐具的補助|1
244|關於「雙重重大性」(Double Materiality),其核心概念是?|考慮公司對外界的影響,也考慮外界對公司的財務影響|環境與社會同等重要|財務報表需編製兩份|內部與外部審計都要參加|1
245|TCFD 建議揭露「治理」面向時,應包含下列哪項?|董事會對氣候相關風險與機會的監督情形|總經理的年度出差次數|公司內部圖書館的藏書量|員工旅遊的參加人數|1
246|什麼是「範疇三」溫室氣體排放?|公司價值鏈中發生的所有間接排放(包含上下游)|公司直接燃燒汽油產生的排放|公司購買電力產生的排放|僅限於高階主管開車產生的排放|1
247|下列何者是「氣候變遷調適」(Adaptation)的例子?|興建防洪設施應對海平面上升|減少二氧化碳排放|安裝太陽能板|改吃素食|1
248|GRI 300 系列準則主要涵蓋哪些議題?|環境議題(如水、能源、生物多樣性)|經濟議題|社會議題|行業別準則|1
249|關於「責任銀行原則」(PRB),銀行承諾其業務應與哪些目標一致?|聯合國 SDGs 與巴黎氣候協定|公司自身的獲利極大化目標|當地政府的選票目標|董事長的個人願景|1
250|下列何者為「藍色金融」(Blue Finance)的重點投資領域?|海洋保育與永續漁業|高空科技|沙漠防護|外太空探索|1
251|在 ESG 報告中,「確信」(Assurance)的主要目的是?|增加永續資訊的準確性與可信度|讓報告書變漂亮|增加排版費用|讓公司可以不用交稅|1
252|我國金管會規定,永續報告書之編製應參考哪些準則?|GRI、TCFD 與 SASB|ISO 9001 與 14001|國家機密法|刑法與民法|1
253|什麼是「碳匯」(Carbon Sink)?|能吸收並儲存二氧化碳的自然或人工系統(如森林)|排碳量很高的煙囪|買賣碳權的辦公室|紀錄碳排放的筆記本|1
254|下列哪一項是金融機構推動 ESG 的主要驅動力?|風險管理、監管要求與投資人需求|單純為了做慈善|政府會發獎金給銀行員工|可以不用參加金融檢查|1
255|關於「淨零路徑」,國際能源署(IEA)建議在 2050 年達成淨零排放的主要手段不包括?|無限制地擴大燃煤發電|大規模發展再生能源|提升能源效率|發展碳捕捉技術|1
256|下列何者屬於 ESG 投資中的「主題投資」?|專門投資於可再生能源或廢棄物處理相關產業|隨機挑選 10 檔股票|投資於所有名字有「綠」字的公司|僅投資於高股息公司|1
257|什麼是「碳足跡」(Carbon Footprint)?|產品或活動在整個生命週期中產生的溫室氣體排放量|工廠在地板上留下的炭灰痕跡|員工走路產生的熱能|公司使用的影印紙張數|1
258|關於「氣候風險」中的「急性風險」,下列何者正確?|由極端天氣事件(如洪水、颱風)引起|由長期氣候趨勢變化引起|由政府法規變動引起|由低碳技術取代引起|1
259|下列何者是企業推動「循環經濟」時「Recycle」的意義?|將廢棄物處理後轉化為可再利用的原料|直接把東西丟掉|減少產品的使用量|重新思考產品設計|1
260|ESG 數據收集的主要挑戰是什麼?|數據缺乏標準化、缺乏歷史數據且來源分散|數據太多不知道怎麼放|電腦硬碟空間不足|員工不願意輸入數據|1
261|關於「永續發展目標」(SDGs),第 13 項目標是?|氣候行動|消除貧窮|優質教育|性別平等|1
262|什麼是「碳定價」(Carbon Pricing)?|將碳排放的環境成本內部化,以金錢形式呈現的機制|政府公告的油價|碳排放量的計算公式|環保署的電話號碼|1
263|下列何者為「社會責任債券」(Social Bond)的目標人群?|弱勢族群或失業人口|高資產客戶|金融從業人員|外國遊客|1
264|關於 TCFD 的「風險管理」面向,組織應揭露什麼?|識別、評估與管理氣候風險的流程|董事會成員的學歷|公司的法律顧問名單|保險公司的名稱|1
265|何謂「內部碳定價」中的「影子價格」(Shadow Price)?|分析投資決策時,虛擬設定的每噸碳成本|黑市的碳權價格|員工私下討論的價格|上一年度的平均碳費|1
266|下列哪一項屬於 ESG 中的「S」(社會)面向議題?|人才吸引、留任與員工福利|董事會多元性|能源使用效率|水資源管理|1
267|「巴塞爾協議」目前是否直接強制規範 ESG 資本計提?|尚未直接強制,但氣候風險已納入監理關注|是,早已強制實施|否,永遠不會納入|只有台灣在實施|1
268|關於「自然相關財務揭露」(TNFD),其 LEAP 評估流程中的「E」代表?|評估(Evaluate)相依性與衝擊|教育(Education)利害關係人|能源(Energy)管理|法律(Enforcement)執行|1
269|下列何者是「綠色債券」與一般債券最主要的區別?|募集資金必須專款用於綠色計畫且需定期報告|利息由政府全額補貼|不具備違約風險|發行者必須是環保局|1
270|關於「碳抵換」(Carbon Offsetting),下列何者敘述正確?|透過購買外部減碳量來抵銷自身的排放|可以直接取代自身的減碳努力而不需做任何事|不需要經過第三方認證|碳抵換的價格在全球都是統一的|1
271|我國「氣候變遷應因法」中,碳費的徵收目的主要是?|提供經濟誘因促使企業主動減碳|增加國庫稅收以支應公務員薪資|限制企業向國外出口|懲罰高獲利企業|1
272|什麼是「範疇一」排放的主要來源?|公司自有車輛或設施直接燃燒燃料的排放|購買電力產生的排放|客戶使用產品產生的排放|供應商送貨產生的排放|1
273|TCFD 建議揭露「策略」面向時,應考慮哪些時間尺度?|短、中、長期|僅考慮明年|僅考慮未來 50 年|不需要考慮時間尺度|1
274|下列何者是「責任投資原則」(PRI)的簽署義務之一?|對其履行的情況進行報告與揭露|必須購買所有綠色基金|禁止投資任何外國公司|每年舉辦環保演習|1
275|GRI 400 系列準則主要涵蓋哪類議題?|社會議題(如勞資關係、人權)|環境議題|經濟議題|組織一般性揭露|1
276|關於「藍色債券」(Blue Bond),其資金用途通常包含?|永續漁業與海洋保護|天空科技開發|沙漠灌溉系統|地下礦產開發|1
277|何謂「責任銀行原則」(PRB)中的「透明與責任」?|定期檢視目標達成進度並公開揭露|將所有客戶餘額公開|由政府派駐人員監督銀行|每個月發布廣告稱讚自己|1
278|下列哪種行為符合「循環經濟」的精神?|將舊產品零件拆解回收再製為新產品|將廢棄物直接掩埋|縮短產品的使用壽命以刺激消費|使用更多的原生材料|1
279|關於「物理風險」,極端氣候導致的保險理賠金額增加,對保險公司而言是?|氣候相關風險帶來的財務衝擊|完全無關的業務波動|政府應該負擔的成本|增加獲利的機會|1
280|企業發布永續報告書時,若採用 GRI 準則,應遵循哪些基本原則?|準確性、平衡性、透明性等|獲利性、機密性、隱瞞性|簡短、美觀、快速|只揭露好的資訊|1
281|什麼是「永續連結債券」(SLB)與「綠色債券」最大的不同?|SLB 資金不限用途,但利率與 ESG 績效掛鉤|SLB 資金必須買綠能設備|SLB 只有政府可以發行|兩者完全一樣|1
282|下列何者屬於 ESG 投資中的「正面/類別領先篩選」(Best-in-class)?|選取同業中 ESG 表現最好的公司進行投資|排除所有菸草與武器公司|只投資於小型企業|隨機挑選公司|1
283|關於「情境分析」,IPCC 提供的 RCP 8.5 情境通常代表?|高溫室氣體排放且未採取積極減碳行動的情境|升溫控制在 1.5 度內的情境|全球經濟完全停滯的情境|人類已經成功移民火星的情境|1
284|企業設定減碳目標時,若符合「科學基礎減碳目標」(SBTi)認證,代表?|其減碳路徑與維持全球溫升 1.5°C 的目標一致|其目標是所有企業中最簡單的|其目標不需要任何數據支持|其目標保證公司不會倒閉|1
285|下列何者是金融業推動「綠色金融」的主要社會責任?|引導資金轉向低碳、永續的經濟活動|替政府追討欠稅|提供低利率貸款給所有親友|幫企業隱藏環境罰單|1
286|關於「自然相關財務揭露」(TNFD)的「相依性」是指?|組織營運對自然環境提供之生態系統服務的依賴|組織對政府補助的依賴|組織對單一客戶的依賴|員工對公司的依賴|1
287|什麼是「淨零排放」的殘餘排放(Residual Emissions)?|採取所有可行減碳措施後仍難以完全消除的排放|工廠煙囪漏出的氣體|員工在辦公室呼吸排出的碳|不小心算錯的排放量|1
288|下列哪一項是 TCFD 建議揭露「風險管理」流程的核心內容?|如何將氣候風險納入整體的風險管理架構|公司如何躲避環保局檢查|公司投保了多少地震險|法律顧問的收費標準|1
289|關於「永續投資」策略中的「排除篩選」,最常被排除的行業是?|爭議性武器、菸草與燃煤發電|太陽能與風力發電|醫療器材與藥品|有機農業與書店|1
290|我國上市上櫃公司編製之永續報告書,其確信報告書應由誰出具?|符合資歷的會計師或第三方專業機構|市長|警察局長|學校老師|1
291|什麼是「碳邊境調整機制」(CBAM)的申報期(過渡期)?|2023 年 10 月至 2025 年底|2020 年至 2022 年|2030 年以後|目前尚未開始|1
292|關於「綠色金融行動方案 3.0」,重點強調要強化什麼數據的整合?|ESG 與氣候相關數據|員工的薪資數據|客戶的社群媒體數據|政府的選票數據|1
293|下列何者屬於「氣候變遷減緩」(Mitigation)?|提升能源效率以減少溫室氣體排放|加強氣象預警系統|研發抗旱種子|遷離低窪地區|1
294|在 ESG 領域中,「利害關係人」(Stakeholders)包含哪些人?|員工、客戶、股東、供應商、社區與政府|僅限於持有股票的股東|僅限於公司的總經理|僅限於政府官員|1
295|關於「ISSB」的準則,其設計是為了與哪種報告進行整合?|一般用途財務報告|警察局的調查報告|氣象局的預測報告|員工的個人日記|1
296|什麼是「重大議題」(Material Topics)在 GRI 中的定義?|反映組織對經濟、環境及社會產生顯著影響的議題|會讓公司虧損的議題|報紙頭條報導的議題|老闆最討厭的議題|1
297|下列何者屬於 ESG 中的「G」(治理)面向指標?|商業道德、稅務透明與董事會職能|辦公室的節能燈泡數量|員工的平均步數|捐贈給孤兒院的金額|1
298|關於「內部碳定價」的推動,首要步驟通常是?|獲得高層管理人員的支持與承諾|立刻開罰排碳最多的部門|向媒體宣佈明年就會減碳 100%|解雇不配合的員工|1
299|什麼是「ESG 整合」(ESG Integration)?|在投資決策過程中,系統化地納入 ESG 因素與財務因素|將三個部門合併成一個部門|只在星期五考慮 ESG|讓所有的員工都穿綠色制服|1
300|關於「永續發展基礎能力測驗」,通過後代表具備什麼能力?|具備永續發展及環境社會治理(ESG)的基本知識認知|具備操作太陽能板維修的能力|具備預測未來 100 年氣溫的能力|具備直接處罰排碳企業的權力|1
301|下列何者屬於「永續經濟活動」認定指引中的「前瞻活動」?|目前尚無低碳替代技術,但碳排表現已屬同業最優者|太陽能發電|植樹造林|回收廢棄物|1
