題號|題目|選項1|選項2|選項3|選項4|正確答案
709|下列哪一項不屬於 TNFD 制訂的建議與附加指引內容?|(1)和原住民族議合|(2)生物群落指引|(3)情境分析|(4)數位轉型計畫|4
710|TCFD 建議描述組織對氣候相關風險管理流程，屬於哪一核心要素?|(1)治理|(2)策略|(3)風險管理|(4)指標與目標|3
711|下列何者不是「保險業氣候相關風險財務揭露指引」要求揭露項目?|(1)風險與機會治理機制|(2)ESG投資與風險管理治理機制|(3)策略|(4)風險管理機制|2
712|有關 GRI 通用準則 2021 當中的 GRI 1，下列敘述何者正確?|(1)規定報導組織揭露項目|(2)規定使用 GRI 準則要求原則|(3)規定ESG相關資揭露項目要求|(4)規定環境面與社會面揭露項目|2
713|COP26 宣布成立 ISSB 並併入 VRF，是為了回應下列何種需求?|(1)利於供應鏈管理|(2)投資機構對高品質永續資訊需求|(3)政府掌握永續資訊|(4)協助企業內部碳定價|2
714|下列哪一個框架參考了 TCFD 與 SASB 產業指引，將風險呈現於財務報告?|(1)IASB|(2)TNFD|(3)CDP|(4)IFRS S1/S2|4
715|TCFD 建議揭露範疇一、二、三排放，屬於哪一核心要素?|(1)治理|(2)策略|(3)風險管理|(4)指標與目標|4
716|根據「保險業氣候相關風險財務揭露指引」，指標與目標包括哪些?|(1)僅甲、乙、丙|(2)僅甲、乙|(3)僅甲、丙、丁|(4)甲、乙、丙、丁皆是|4
717|有關 GRI 決定重大主題流程中，關於鑑別衝擊之資訊來源何者錯誤?|(1)可透過申訴機制蒐集|(2)可使用企業風險管理系統資訊|(3)風險管理系統僅鑑別內部風險不含外部衝擊|(4)可使用新聞及公民組織資訊|3
718|下列何者非服務型碳足跡的生命週期階段?|(1)原料取得|(2)製造|(3)服務|(4)廢棄處理|2
719|下列對於 SASB 的敘述，何者正確?|(1)2011年創立於美國，旨在促進財務重大性永續資訊揭露|(2)旨在消弭全球評價落差，滿足政策制定者需求|(3)要求揭露氣候風險重大性資訊|(4)2018年公布11項產業與26項通用ESG議題重大性地圖|1
720|TCFD 指引中「透過說明成本結構，向投資人證明投資潛力」，屬於哪個類別?|(1)收入|(2)支出|(3)資產和負債|(4)資本和融資|2
721|有關 IFRS S2 準則適用範圍，下列哪一項錯誤?|(1)暴露於實體風險|(2)暴露於轉型風險|(3)可取得之氣候相關機會|(4)無法合理預期將影響個體展望之風險|4
722|TCFD 對於資產負債表中資產和負債之揭露建議，何者錯誤?|(1)政策變化可能影響資產評價|(2)重點應包括新投資與資產減損|(3)建議注意短期資產，因其特別可能受氣候影響|(4)說明氣候影響具有重要意義|3
723|「上市櫃公司永續發展路徑圖」分階段規定企業揭露什麼?|(1)減量目標設定|(2)溫室氣體盤查與確信|(3)溫室氣體財務化|(4)減量成果|2
724|根據「本國銀行氣候風險財務揭露指引」，銀行應依據下列何者採行差異化管理?|(1)所辨識風險高低或次序|(2)風險與其他風險關聯性|(3)客戶或資產組合類型|(4)不同氣候情境分析|1
725|投信投顧事業 ESG 指引，應於施行後幾個月內調整符合規定?|(1)1個月|(2)3個月|(3)6個月|(4)1年|3
726|銀行訂定高氣候風險客戶管理措施時，考慮因素應包括哪些?|(1)僅甲|(2)僅乙、丙|(3)僅甲、乙|(4)甲、乙、丙皆是|4
727|上市櫃公司編製永續報告書應揭露之指標，不包括下列哪一項?|(1)溫室氣體排放量|(2)能源使用量|(3)員工教育訓練時數|(4)董事會酬金明細|4
728|關於「內部碳定價」之應用，下列何者錯誤?|(1)可用於評估投資專案之氣候風險|(2)可作為部門績效考核指標|(3)必須向政府繳交相關費用|(4)有助於引導資金投入低碳技術|3
729|下列何者為 GRI 305-1 準則之主題?|(1)能源消耗|(2)直接(範疇一)溫室氣體排放|(3)水資源與放流水|(4)職業健康與安全|2
730|關於「氣候變遷因應法」之氣候變遷調適，下列敘述何者正確?|(1)僅針對降低排放量|(2)旨在提升抗災能力及降低脆弱性|(3)不包含農業領域|(4)由財政部主導執行|2
731|IFRS S2 要求揭露之氣候相關機會，係指下列何者?|(1)政府補助|(2)稅務優惠|(3)因應氣候變遷可能產生之潛在正向影響|(4)以上皆是|3
732|關於「永續分類標準」中之「不造成重大損害(DNSH)」，其意義為何?|(1)不影響公司獲利|(2)對其他環境目標不產生負面影響|(3)不造成人員受傷|(4)不違反當地法律|2
733|我國推動「綠色金融行動方案3.0」中，「培力」面向之對象為?|(1)僅限高階主管|(2)僅限風險管理人員|(3)金融從業人員及大專院校學生|(4)一般社會大眾|3
734|關於「碳抵換(Carbon Offset)」，下列何者正確?|(1)可用於完全取代減碳行為|(2)透過支持外部減碳專案產生碳權抵扣自身排放|(3)僅能在同一個國家執行|(4)僅適用於製造業|2
735|下列何種情境分析通常被用於評估轉型風險?|(1)海平面上升情境|(2)升溫 1.5度C 路徑情境|(3)極端降雨情境|(4)乾旱情境|2
736|GRI 準則中之「準則之應用(Application)」不包括哪種申報方式?|(1)依循 GRI 準則報導|(2)參考 GRI 準則報導|(3)完全不使用 GRI 準則|(4)以上皆非|3
737|SASB 準則中，「客戶隱私與資料安全」通常在哪個維度?|(1)環境|(2)社會資本|(3)人力資本|(4)公司治理|2
738|下列何者為「TCFD」的正式全名?|(1)氣候相關財務揭露工作小組|(2)永續發展揭露委員會|(3)國際會計準則理事會|(4)金融穩定委員會|1
739|關於「永續連結貸款(SLL)」，其特性為何?|(1)資金僅限用於綠色專案|(2)利率與企業達成之永續目標連結|(3)不需進行確信|(4)僅限上市櫃公司申辦|2
740|關於「COP28」之主要結論，下列何者正確?|(1)同意重啟火力發電|(2)達成「擺脫化石燃料」之共識|(3)取消巴黎協定目標|(4)限制綠能發展|2
741|我國碳費徵收之計算公式主要為何?|(1)排放量 X 碳費費率|(2)營收 X 碳費費率|(3)利潤 X 碳費費率|(4)員工數 X 碳費費率|1
742|下列何者屬於溫室氣體範疇三之類別?|(1)外購電力|(2)公司車汽油消耗|(3)產品售後使用之排放|(4)工廠製程排放|3
743|ISSB 成立之初併入之組織不包括?|(1)CDSB|(2)VRF|(3)IASB|(4)以上皆是|3
744|關於「雙重重大性(Double Materiality)」，其意義為何?|(1)兩倍的獲利|(2)同時考量環境衝擊與財務影響|(3)重複計算兩次盤查結果|(4)僅考量供應鏈風險|2
745|下列何者為「氣候相關實體風險」之範疇?|(1)碳稅增加|(2)消費者偏好改變|(3)洪水導致廠房損毀|(4)新技術取代舊技術|3
746|關於「低碳經濟轉型」，下列敘述何者正確?|(1)會導致失業率大幅提升且無解決方案|(2)需要大規模的資金投入低碳技術開發|(3)對金融業沒有任何風險|(4)僅開發中國家需要執行|2
747|TNFD 的核心目的是為了?|(1)減少金融機構之壞帳|(2)引導資金流向對自然有正面貢獻的活動|(3)增加政府稅收|(4)完全取代 TCFD|2
748|關於「綠色債券」之發行，應經由哪種機構出具評估意見?|(1)稅務局|(2)外部確信或認證機構|(3)勞工局|(4)地政事務所|2
749|下列何者非「綠色金融行動方案3.0」之核心價值?|(1)韌性|(2)透明|(3)獲利最大化|(4)永續|3
750|關於「1.5度C」目標，係指相對於哪個時期的全球平均溫度?|(1)1990年|(2)2000年|(3)工業革命前|(4)2010年|3
751|下列何者為 IFRS S2 對於「溫室氣體排放」之揭露要求?|(1)僅揭露範疇一|(2)僅揭露範疇二|(3)應揭露範疇一、二、三總量|(4)不需揭露具體數值|3
752|關於「氣候變遷因應法」中之自願減量核發碳權，應向誰申請?|(1)財政部|(2)環境部|(3)經濟部|(4)金管會|2
753|SASB 準則中，「產品品質與安全」屬於哪個面向?|(1)社會資本|(2)環境|(3)人力資本|(4)治理|1
754|TCFD 建議描述組織如何辨識氣候風險，屬於哪個要素?|(1)治理|(2)策略|(3)風險管理|(4)指標與目標|3
755|關於「淨零排放」與「碳中和」之差異，下列何者正確?|(1)兩者完全相同|(2)淨零排放要求極大化減少排放後再抵銷|(3)碳中和不需要實際減碳即可達成|(4)淨零僅針對二氧化碳|2
756|我國永續發展路徑圖規定，哪一年度全體上市櫃公司應完成溫室氣體盤查?|(1)2025年|(2)2027年|(3)2029年|(4)2030年|2
757|下列何者為 GRI 2021 通用準則之結構?|(1) GRI 1, 2, 3|(2) GRI 101, 102, 103|(3) GRI A, B, C|(4) GRI E, S, G|1
758|關於「企業永續報告指令(CSRD)」，其適用對象包括?|(1)僅限歐盟大型企業|(2)歐盟大型企業及符合條件之非歐盟企業|(3)僅限金融機構|(4)僅限高耗能產業|2
759|下列何者為「氣候風險壓力測試」之主要變數?|(1)利率|(2)碳價與實體災損|(3)匯率|(4)通膨率|2
760|關於「公正轉型(Just Transition)」，其核心理念為?|(1)僅保護企業利益|(2)確保轉型過程中不遺落任何人(如勞工權益)|(3)延緩轉型速度|(4)不考慮環境正義|2
761|根據臺灣永續經濟活動認定參考指引中之未對六項環境目的造成重大危害之判斷原則為下列何者?|是否揭露碳排放數據|是否編制氣候變遷報告書|是否編制永續報告書|未因違反相關法規而受目的事業主管機關重大裁處|4
762|國際清算銀行(BIS)於2020年1月20日發佈報告,報告中提及氣候變遷可能帶來哪一項事件,並引發全球金融危機?|黑天鵝事件|綠天鵝事件|灰犀牛事件|綠犀牛事件|2
763|我國推動上市櫃公司永續發展行動方案,擴大永續資訊揭露範圍,將自2025年推動多少資本以下的上市櫃公司編製永續報告書?|10億元|20億元|50億元|100億元|2
764|「巴黎協定」讓各締約國依狀況及能力,提出各國的國家自主貢獻(NDCs)的溫室氣體減量目標以及計畫,並以每幾年為一週期提交NDCs,以落實全球氣溫升高幅度介於1.5℃之目標?|1年|3年|5年|7年|3
765|關於「企業社會責任(CSR)」之要求,下列敘述何者較不適當?|須謹守良好的治理原則|須對股東利益負責|慈善捐助金額愈多愈好|須考量環境保護、社會公義的責任|3
766|我國永續推動政策中,訂定上市櫃公司溫室氣體盤查資訊揭露時程,為下列哪一項政策?|上市公司行動方案|上市櫃公司永續發展路徑圖|上市上櫃實務守則|氣候變遷因應法|2
767|永續金融揭露規範(SFDR)要求在銷售永續商品時,需揭露公司與金融商品的永續資訊,不包含以下何者?|永續性風險政策|產品的獲利性揭露|不利的永續性影響|產品級別揭露|2
768|《氣候變遷綱要公約》(UNFCCC)附件一締約國應制定下列哪一項政策?|應承擔為開發中國家提供資金與技術援助等責任|制定全球暖化政策|承諾國家自主貢獻(NDCs)|應制定國家政策和採取相應的措施來減緩氣候變化|4
769|有關「歐盟永續分類標準(EU Taxonomy Regulation)」,此分類法將評估主體從「企業」整體轉向下列何者,並賦予活動具體的永續定義?|國家|消費者|經濟活動|生產者|3
770|我國推動上市櫃公司永續發展路徑圖,盤查時程規劃不包含哪一項?|資本額100億元以上之上市櫃公司,及鋼鐵、水泥業盤查個體公司|資本額100億元以上之上市櫃公司,及鋼鐵、水泥業之合併報表子公司完成盤查|資本額50至100億元上市櫃公司之合併報表子公司完成盤查|資本額100億元以上之上市櫃公司,及鋼鐵、水泥業完成確信|4
771|我國推動上市櫃公司永續發展行動方案,推動什麼公司採候選人提名制度?|上市公司|上櫃公司|上市櫃公司|興櫃公司|3
772|歐盟於2020年6月發布下列哪個標準,並在同年7月12日生效,界定「永續的經濟活動」,成為多數國家制定相關標準或指引的參考?|歐盟永續分類標準(EU Taxonomy Regulation)|歐洲綠色政綱(European Green Deal)|碳邊境調整機制(CBAM)|企業永續報告指令(CSRD)|1
773|金融業將 ESG 規範納入決策機制,其用意不包含下列哪一項?|投資授信之參考,運用ESG來審視投融資對象|授信、投資或金融商品之業務方向,引導企業與投資人重視永續議題|鼓勵企業追求短期盈利和高風險投資|提升金融業的競爭力和長期價值|3
774|哪一屆的聯合國氣候變遷締約國會議(COP),富裕國家首度同意設立基金,賠償氣候脆弱國家因氣候變化造成的損失和損害?|COP 24|COP 25|COP 26|COP 27|4
775|我國推動上市櫃公司永續發展路徑圖,2025年須盤查完成的不包含哪一類?|資本額100億元以上之上市櫃公司合併報表子公司|鋼鐵業合併報表子公司|水泥業合併報表子公司|資本額50億元以下之上市櫃公司|4
776|聯合國永續發展目標SDGs,其中之一旨在海洋與海洋資源之永續保育,下列哪一個不屬於此目標?|減少海洋污染物之排放,尤其是塑料垃圾、污水等|保護、恢復沿岸生態系統,包含濕地、紅樹林等生態環境|減少溫室氣體排放,降低海洋酸化風險|建立與強化水相關之基礎設施|4
777|我國推動上市櫃公司永續發展行動方案,五大面向不包含下列哪一項?|引領企業淨零|精進永續資訊揭露|推動獨董制度改革|推動 ESG 評鑑及數位化|3
778|金融業落實 2050淨零排放目標,所扮演的角色下列敘述何者有誤?|金融業絕大多數碳排來自於客戶|金融業本身為碳排大戶本應致力於節能減碳|應發揮金融影響力,喚起更多客戶對於氣候風險的重視|提供資金讓客戶有更充裕的資源進行減碳轉型|2
779|我國氣候變遷因應法中,明訂將減碳治理層級提高到哪個單位負責?|國家發展委員會|國家永續發展委員會|環境部|金管會|2
780|下列何者不是歐盟永續分類標準提及制定永續活動分類系統之主要目的?|達到綠色政綱(Europe Green Deal)所設立之目標|辨識經濟活動是否具有社會永續性|協助企業進行低碳轉型|將資金引導至有助於永續發展的經濟活動|2
781|2023年4月12日,歐洲監管機構(ESAs)聯合發布《有關主要不利影響(PAIs)和金融產品揭露的SFDR委託法規審查》之諮詢文件,諮詢文件提議之內容為何?|建構有關永續經濟活動的共同分類系統|對SFDR 層次2有關主要不利影響(PAIs)和揭露的監管技術標準(RTS)提出重大改變的建議|規範確定經濟活動是否符合環境永續性的標準|建立技術篩選標準以判別經濟活動是否能夠協助歐盟達成低碳|2
782|下列何者不是「氣候變遷因應法」之重點內容?|2050淨零排放目標入法|碳稅專款專用|穩健推動碳交易|優化碳盤查法規與系統|2
783|臺灣 2050 淨零排放路徑以四大轉型為策略,請問下列哪一個項目在其中?|科技轉型|氣候轉型|法制轉型|生活轉型|4
784|依據《再生能源發展條例》,下列針對相關再生能源之描述何者有誤?|氫能係指利用不分種類的電力分解水產生之氫氣|地熱能係指地表以下蘊含於如溫泉的能源|離岸風力發電係指設置於低潮線以外海域轉換風能為電能|燃料電池係指藉由氫氣及氧氣產生電化學反應將化學能轉換為電能之裝置|1
785|有關 GRI準則中對於決定重大主題時,組織為了鑑別衝擊而使用的資訊來源,下列何者錯誤?|來自法律審查、反貪腐法遵管理系統的資訊|財務稽核文件的資訊|職業安全衛生檢查文件的資訊|組織內部成員的個人資訊|4
786|在臺灣,會計師依據以下哪一號準則規範,進行溫室氣體聲明之確信工作?|審計準則 220號|確信準則3000號|確信準則 3410號|審計準則 720號|3
787|最晚適用我國IFRS永續揭露準則的上市櫃公司,哪一項敘述正確?|資本額達100億元以上|資本額 50-100億元|資本額 20-50億元|資本額達50億元以下|4
788|根據「本國銀行氣候風險財務揭露指引」之指標與目標,以下敘述何者錯誤?|氣候風險之關鍵指標,可隨意選用任何歷史數據|指標應考量所受氣候風險影響之期間長短|優先遵循國內相關規範要求之溫室氣體排放計算方法|依所設定之關鍵指標分別訂定達成目標|1
789|氣候相關財務揭露工作小組(TCFD)建議揭露組織所鑑別的短、中、長期氣候相關風險與機會,屬於四項核心要素當中的哪一項?|治理|策略|風險管理|指標和目標|2
790|永續會計準則委員會(SASB)成立宗旨在促進企業對於長期影響其財務報表或企業價值的永續性資訊,應併同於其財務資訊共同揭露,會計準則和永續會計準則同樣都要求企業向投資人揭露其具有什麼樣特性的資訊?|對自然資本的衝擊|人權重大性|財務重大性|環境重大性|3
791|國際上愈來愈重視氣候相關財務揭露,金管會在「上市櫃公司永續發展路徑圖」中推動氣候相關資訊的揭露,證交所在「上市公司編製與申報永續報告書作業辦法」也規定實收資本額達新臺幣20億元以上者,自2023年也應依照作業辦法編制永續報告書,其辦法的氣候相關揭露指引是參考哪一個國際永續資訊揭露框架?|TNFD|TCFD|SBTi|CDP|2
792|SASB 準則五大面向當中的環境(Environment)提及溫室氣體排放(GHG emission),不涉及哪項內涵?|員工個人減碳作為|企業監管風險|企業聲譽風險和機會|環境合規性|1
793|氣候相關財務揭露工作小組(TCFD)建議揭露範疇一、範疇二、範疇三(如適用)溫室氣體排放和相關風險,屬於四項核心要素當中哪一項?|治理|策略|風險管理|指標和目標|4
794|氣候相關財務揭露工作小組(TCFD)建議揭露管理階層在評估和管理氣候相關風險與機會的角色,屬於四項核心要素當中的哪一項?|治理|策略|風險管理|指標和目標|1
795|永續會計準則委員會(SASB)為了制定更全面、完整,且質化與量化並行的永續資訊揭露標準,結合 ESG各面向指標,滿足投資者的資訊需求,利於企業更全面展現長期績效與價值。為達成這一目的,SASB準則具備某些特色,哪一項不是其特色?|設計出產業特定指標|指標具備明確投資指引|指標具備一致性|指標具備可比較性|2
796|有關 GRI正式推出的GRI永續報導準則(簡稱GRI準則),下列何者正確?|僅適用於高碳排工業|僅適用於一次性非再生能源產業|僅適用於製造業|得適用於任何產業|4
797|碳足跡研究報告揭露應包含下列哪一項?|功能單位|系統邊界|截斷準則|以上皆是|4
798|依據金管會對證券投資信託企業訂定環境政策之要求,其環境政策內容須至少包含哪一項環境議題?|氣候變遷|再生能源|生物多樣性|減塑|1
799|根據 TNFD 指引,以下哪一項並非與原住民族、在地社區及受影響利害關係人進行高品質議合的效益相關?|更有效的管理自然相關議題|促進組織的短期獲利|建立共融、尊重的合作關係|符合國際準則與司法管轄要求|2
800|有關組織鑑別衝擊的過程,下列敘述何者錯誤?|在某些情況下,組織可能無法鑑別其所有活動和商業關係的負面衝擊|組織無法鑑別負面衝擊的原因可能是因為其價值鏈包含許多實體|組織無法鑑別負面衝擊原因可能是因為擁擁有個球業務|組織無法鑑別的負面衝擊都是潛在的衝擊|4
801|依「公開發行公司年報應行記載事項準則」附表二之二之二,何者非應揭露之環境議題?|再生物料使用情形|評估氣候變遷對企業的影響|兩年溫室氣體排放量、用水量及廢棄物總重量|有毒氣體之排放量|4
802|組織依循 GRI進行報導時,應報導所有GR12中的揭露項目,下列敘述何者正確?|GR12中的所有揭露項目都不可以有省略理由|揭露項目2-4資訊重編不可以有省略理由|揭露項目2-5外部保證/確信可以有省略理由|GRI2中的所有揭露項目都可以有省略理由,沒有例外|2
803|國際永續準則理事會(ISSB),於2023年中正式發布永續揭露準則S1及S2,我國因應方式下列描述何者錯誤?|金管會宣布全面接軌IFRS 永續揭露準則|金管會規劃由資本額達100億元以上之上市(櫃)公司於2026年編製|臺灣將參考此國際永續揭露準則,並研擬「台版永續準則」|金管會積極推動永續資訊之揭露並接軌國際準則|3
804|氣候相關財務揭露工作小組(TCFD)對於指標和目標項目中,建議的揭露事項,下列何者錯誤?|揭露範疇一、範疇二和範疇三(如適用)溫室氣體排放和相關風險|描述組織在管理氣候相關風險與機會所使用的目標|揭露組織依循策略和風險管理流程進行評估氣候相關風險所使用的指標|描述組織在氣候相關風險的管理流程|4
805|根據「本國銀行氣候風險財務揭露指引」,銀行於評估氣候風險之影響時,應說明所辨識之氣候風險在不同期間下,對銀行營運、策略等之影響。以下敘述何者錯誤?|應詳述碳相關資產之現況與所受之影響|應至少評估短期及長期所受之影響|短期代表影響發生在銀行業務規劃展望內|長期代表影響發生超出銀行當前資產組合之期限並持續五年|4
806|針對 IFRS S1的描述,何者錯誤?|針對重大永續相關風險提供揭露指引,並要求企業不得再以營業秘密為理由規避揭露|揭露可比較的資訊及所遵循準則的聲明等|提供投資人評估公司價值之永續相關資訊|稱為永續相關財務資訊之一般性揭露要求|1
807|「公開發行公司年報應行記載事項準則」附表二之二之二,須敘明下列項目最近兩年之統計數據,哪一項敘述錯誤?|溫室氣體|再生物料|廢棄物|用水量|2
808|根據「本國銀行氣候風險財務揭露指引」之指標與目標,以下敘述何者錯誤?|僅甲、丙|僅甲、乙、丙|僅乙、丁|甲、乙、丙、丁皆錯誤|3
809|臺灣政府的「國家氣候變遷調適行動計畫(112-115年)」,其中「土地利用」不是下列哪一個部會負責管轄的範圍?|經濟部|農業部|交通部|內政部|3
810|下列何者不是針對水安全風險的調適策略選項?|灌溉基礎設施建設|生態截流系統或滯洪池|排水系統、建築和城市設計規範|貧民區/水資源改造|3
811|ESG 永續風險中的S是指什麼?|治安|環境|治理|社會|4
812|海平面上升趨勢會使產險公司面臨何種風險?|立即性的氣候實體風險|長期性的氣候實體風險|市場風險|技術風險|2
813|下列何者不是溫室氣體?|水蒸氣|一氧化二氮|氨氣|二氧化碳|3
814|有關全球碳定價推動與趨勢的數據資料可以到哪一個單位的網站查詢?|Climate Central|聯合國政府間氣候變遷專門委員會|Climate Wise|世界銀行|4
815|聯合國政府間氣候變遷專門委員會(IPCC)AR6 報告中評估達成世紀末地表增溫不超過1.5度的代表路徑為何?|SSP1-1.9|SSP1-2.6|SSP2-4.5|SSP5-8.5|1
816|下列何者為金融機構面對治理風險應有的作為?|與大學產學合作|增加聘用身心障礙員工|建立完善的育嬰留職停薪制度|成立「防制洗錢及打擊資恐委員會」|4
817|金融機構協助消除貧窮的措施有哪些?|協助公益彩券發行|銷售微型保單|成立慈善基金會|以上皆是|4
818|根據聯合國政府間氣候變遷專門委員會(IPCC)AR6報告,全球升溫在21中期(2041-2060年)很可能超過2 C的是哪一種情境?|SSP1-1.9|SSP1-2.6|SSP2-4.5|SSP5-8.5|4
819|聯合國政府間氣候變遷專門委員會(IPCC)對未來全球氣候長期推估中,採用的溫室氣體排放軌跡情境,不包含哪一種溫室氣體?|甲烷|一氧化二氮|臭氧|二氧化碳|3
820|近年來遭遇野火肆虐的地區或國家為何?|僅甲、乙、丙|僅乙、丙、丁|僅甲、乙、丁|甲、乙、丙、丁|4
821|我國於111年底首次發布永續金融評鑑,請問永續金融評鑑的架構主要包含哪三個支柱?|金融、經濟、環保|環境、社會、公司治理|員工發展、客戶服務、風險管理|淨零轉型、普惠金融、法律遵循|2
822|公司A向銀行申請一筆貸款,其資金用途係用作控制溫室氣體排放、耗電量、廚餘及太陽能發電之項目,請問公司A最適合申請之授信為何種類型?|綠色授信|社會授信|永續授信|永續連結授信|1
823|下列何者為強制性的國際倡議?|僅甲、丙|僅甲、丁|僅甲、乙、丁|甲、乙、丙、丁皆非|4
824|在永續金融評鑑中,下列何者屬於「環境支柱指標」?|永續發展目標之設定|氣候風險策略|金融消費保護|資安個資保護|2
825|下列何者為防止漂綠的原則?|聲明應該模糊不清|聲明應簡單易懂,並避免使用難以理解的術語|聲明應隱藏負面訊息|聲明不需要證據支持|2
826|下列有關氣候保險(Climate Insurance)的敘述何者正確?|常使用天氣參數滿足理賠條件便會理賠|保險公司無須訪查被保險人的損害程度|目前臺灣針對農作物所推出的保險即為氣候保險|以上皆是|4
827|何者不屬於綠色授信的產業範圍?|再生能源發電|建置捷運與汽車專用高架橋|回收紙製程能源優化|零燃煤汽電共生|2
828|根據 UNEPFI制定的保險永續發展目標(SDG),保險公司應如何應對氣候變遷?|提供保費更低的保險商品|在保險定價中考量氣候風險|減少保險商品的銷售|針對大型企業提供專屬的優惠方案|2
829|下列敘述何者最切合ESG投資的定義?|將環境、社會及治理等因素納入企業營運決策中|將環境、社會及治理等因素納入投資決策中|將經濟、社會及綠色等因素納入企業營運決策中|將經濟、社會及綠色等因素納入投資決策中|2
830|以下何者不屬於永續相關主題投資的投資主題?|永續農業|性別平等|低碳傾斜投資組合|高股息|4
831|銀行A推出一貸款專案,惟貸款企業應達成與該銀行約定的永續績效指標,請問該專案最可能為什麼類型的授信?|綠色授信|社會授信|永續授信|永續連結授信|4
832|以下何者非機構投資人主要進行盡職治理的方式?|取得經營權|行使投票權|議合|出席股東會|1
833|下列有關於ESG基金與傳統基金的敘述哪些是正確的?|甲乙|甲丙|乙丙|乙丁|4
834|下列何者為參數型天氣保險的優勢?|僅甲、乙|僅甲、丙|僅乙、丙|甲、乙、丙皆是|2
835|請問巴黎協定是在解決哪一方面的全球挑戰?|氣候變遷|勞工權益|性別平等|生物多樣性|1
836|富時羅素 ESG 評比之公司治理支柱下納入之主題?|消費者責任|風險管理|勞工規範基準|以上皆是|2
837|下列何者為保險業善盡ESG責任最有效的方法?|透過高額保費限制中小企業的參與|增加投資組合的報酬率|提供相同保險費率的保單|限制高汙染企業的投保|4
838|有關可持續發展連結債券(Sustainability linked bonds)之敘述,何者最為符合?|僅可持續發展績效優於同業者得發行|債券本息支付條件與發行人可持續發展績效目標相連結之債券|所募集之資金全數用於綠色投資計畫|以上皆非|2
839|以下何者非限定資金用途綠色債券原則中,發行人之年度報告應包含之項目?|募集資金投資的項目清單|獲配資金金額|預期效益|往年曾發行之其他債券項目|4
840|下列有關於永續保險原則(PSI)之敘述何者錯誤?|為第一個針對保險業的架構|由聯合國環境規劃署金融倡議機構啟動|必須將巴黎協定整合至業務發展中|提供保險公司具體的永續作為|3
